ProductName;Name;Country;SalesOrderNumber;OrderQuantity;UnitPrice;ProductStandardCost;TotalProductCost;SalesAmount;TaxAmt;Freight;OrderDate
Mountain-100 Silver, 48;Lindsey Yuan;Germany;SO44571;1;3399,99;1912,1544;1912,1544;3399,99;271,9992;84,9998;2018-05-01 00:00:00.000
Road-150 Red, 56;Ashlee Sharma;United States;SO44572;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-05-01 00:00:00.000
Mountain-100 Silver, 48;Kyle Long;United States;SO44573;1;3399,99;1912,1544;1912,1544;3399,99;271,9992;84,9998;2018-05-01 00:00:00.000
Mountain-100 Black, 42;Bianca Lin;Australia;SO44574;1;3374,99;1898,0944;1898,0944;3374,99;269,9992;84,3748;2018-05-01 00:00:00.000
Mountain-100 Silver, 38;Curtis Yang;Australia;SO44575;1;3399,99;1912,1544;1912,1544;3399,99;271,9992;84,9998;2018-05-01 00:00:00.000
Road-150 Red, 52;Justin Anderson;United States;SO44576;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-05-01 00:00:00.000
Road-150 Red, 56;Devin Williams;United States;SO44577;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-05-02 00:00:00.000
Road-150 Red, 56;Grace Williams;United States;SO44578;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-05-02 00:00:00.000
Road-150 Red, 48;Isaiah Murphy;United States;SO44579;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-05-02 00:00:00.000
Road-150 Red, 56;Kelli Lu;Germany;SO44580;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-05-03 00:00:00.000
Mountain-100 Black, 38;Kari Alvarez;Australia;SO44581;1;3374,99;1898,0944;1898,0944;3374,99;269,9992;84,3748;2018-05-03 00:00:00.000
Mountain-100 Silver, 44;Larry Townsend;Australia;SO44582;1;3399,99;1912,1544;1912,1544;3399,99;271,9992;84,9998;2018-05-03 00:00:00.000
Road-150 Red, 62;Katie Lal;Australia;SO44583;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-05-03 00:00:00.000
Road-150 Red, 52;Gabrielle Russell;United States;SO44584;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-05-04 00:00:00.000
Road-150 Red, 48;Seth Howard;United States;SO44585;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-05-04 00:00:00.000
Road-150 Red, 56;Juan Cooper;United States;SO44586;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-05-04 00:00:00.000
Road-150 Red, 44;Edward Collins;United States;SO44587;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-05-04 00:00:00.000
Road-650 Black, 52;Mariah Simmons;Canada;SO44588;1;699,0982;413,1463;413,1463;699,0982;55,9279;17,4775;2018-05-04 00:00:00.000
Mountain-100 Silver, 44;Edgar Sara;Australia;SO44589;1;3399,99;1912,1544;1912,1544;3399,99;271,9992;84,9998;2018-05-04 00:00:00.000
Road-150 Red, 62;Carl Raje;Germany;SO44590;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-05-05 00:00:00.000
Road-650 Red, 52;Cara Sun;France;SO44591;1;699,0982;413,1463;413,1463;699,0982;55,9279;17,4775;2018-05-05 00:00:00.000
Road-150 Red, 56;Robert Campbell;United States;SO44592;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-05-05 00:00:00.000
Road-150 Red, 52;Martin Fernandez;United States;SO44593;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-05-05 00:00:00.000
Road-150 Red, 62;Jeremiah Hall;Australia;SO44594;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-05-05 00:00:00.000
