ProductName;Name;Country;SalesOrderNumber;OrderQuantity;UnitPrice;ProductStandardCost;TotalProductCost;SalesAmount;TaxAmt;Freight;OrderDate
Road-150 Red, 48;Mackenzie Campbell;United States;SO45824;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-01 00:00:00.000
Road-150 Red, 56;Dennis Ware;Canada;SO45825;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-01 00:00:00.000
Road-150 Red, 62;Jonathan Powell;Canada;SO45826;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-01 00:00:00.000
Road-150 Red, 48;Jon Pal;United Kingdom;SO45827;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-01 00:00:00.000
Road-650 Red, 52;Austin Foster;United States;SO45828;1;699,0982;413,1463;413,1463;699,0982;55,9279;17,4775;2018-10-01 00:00:00.000
Road-150 Red, 62;Darren Malhotra;Australia;SO45829;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-01 00:00:00.000
Road-150 Red, 56;Jamie Guo;Australia;SO45830;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-01 00:00:00.000
Road-150 Red, 52;Rodney Blanco;Australia;SO45831;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-01 00:00:00.000
Mountain-100 Black, 48;Joe Rana;Australia;SO45832;1;3374,99;1898,0944;1898,0944;3374,99;269,9992;84,3748;2018-10-01 00:00:00.000
Road-150 Red, 52;Hannah Patterson;United States;SO45833;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-02 00:00:00.000
Road-150 Red, 48;Joe Torres;United States;SO45834;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-02 00:00:00.000
Road-150 Red, 52;Victoria Morris;United States;SO45835;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-02 00:00:00.000
Road-150 Red, 44;Nelson Harrison;Germany;SO45836;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-02 00:00:00.000
Mountain-100 Black, 38;Clarence Ye;United States;SO45837;1;3374,99;1898,0944;1898,0944;3374,99;269,9992;84,3748;2018-10-02 00:00:00.000
Road-150 Red, 44;Gina Dominguez;Australia;SO45838;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-02 00:00:00.000
Mountain-100 Black, 42;Philip Carlson;Australia;SO45839;1;3374,99;1898,0944;1898,0944;3374,99;269,9992;84,3748;2018-10-02 00:00:00.000
Mountain-100 Black, 42;Latasha Rubio;Germany;SO45840;1;3374,99;1898,0944;1898,0944;3374,99;269,9992;84,3748;2018-10-03 00:00:00.000
Road-150 Red, 44;Jaclyn Chander;France;SO45841;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-03 00:00:00.000
Road-150 Red, 56;Edward Lewis;United States;SO45842;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-03 00:00:00.000
Road-150 Red, 48;Sierra Roberts;United States;SO45843;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-03 00:00:00.000
Road-150 Red, 48;Andrew Rodriguez;United States;SO45844;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-03 00:00:00.000
Road-150 Red, 44;Benjamin Shan;Canada;SO45845;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-04 00:00:00.000
Road-150 Red, 56;Joseph Jackson;Canada;SO45846;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-04 00:00:00.000
Mountain-100 Silver, 42;Gabriel Chow;United States;SO45847;1;3399,99;1912,1544;1912,1544;3399,99;271,9992;84,9998;2018-10-04 00:00:00.000
Road-650 Black, 48;Adam Gonzalez;United States;SO45848;1;699,0982;413,1463;413,1463;699,0982;55,9279;17,4775;2018-10-04 00:00:00.000
Road-150 Red, 48;Raul Luo;Australia;SO45849;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-04 00:00:00.000
Road-150 Red, 62;Seth Mitchell;United States;SO45850;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-05 00:00:00.000
Road-150 Red, 48;Greg Taylor;United States;SO45851;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-05 00:00:00.000
Road-650 Black, 48;Chad Shen;France;SO45852;1;699,0982;413,1463;413,1463;699,0982;55,9279;17,4775;2018-10-05 00:00:00.000
Road-150 Red, 52;Isabelle Barnes;United Kingdom;SO45853;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-05 00:00:00.000
Road-150 Red, 48;Dominique Subram;United Kingdom;SO45854;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-05 00:00:00.000
Road-650 Black, 44;Grant Pal;United States;SO45855;1;699,0982;413,1463;413,1463;699,0982;55,9279;17,4775;2018-10-05 00:00:00.000
Road-150 Red, 44;Kristina Lopez;Australia;SO45856;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-05 00:00:00.000
Mountain-100 Black, 48;Warren Andersen;Australia;SO45857;1;3374,99;1898,0944;1898,0944;3374,99;269,9992;84,3748;2018-10-05 00:00:00.000
Mountain-100 Black, 44;Dorothy Robinson;Australia;SO45858;1;3374,99;1898,0944;1898,0944;3374,99;269,9992;84,3748;2018-10-05 00:00:00.000
Road-150 Red, 56;Lindsey Deng;France;SO45859;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-06 00:00:00.000
Road-150 Red, 48;Anthony Rodriguez;Canada;SO45860;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-06 00:00:00.000
Road-150 Red, 44;Aaron Wright;France;SO45861;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-06 00:00:00.000
Road-150 Red, 48;Ernest Xu;Germany;SO45862;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-07 00:00:00.000
Road-150 Red, 56;Ryan Zhang;United States;SO45863;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-07 00:00:00.000
Road-150 Red, 44;Katrina Chande;Australia;SO45864;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-07 00:00:00.000
Road-150 Red, 48;Riley Reed;Australia;SO45865;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-07 00:00:00.000
Road-150 Red, 62;Kelli Wu;United Kingdom;SO45866;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-07 00:00:00.000
Road-150 Red, 48;Cameron Moore;United States;SO45867;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-08 00:00:00.000
Road-150 Red, 62;Dana Ruiz;Germany;SO45868;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-08 00:00:00.000
Road-150 Red, 62;Jessica Martin;Germany;SO45869;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-08 00:00:00.000
Mountain-100 Black, 42;Mark Bebbington;United States;SO45870;1;3374,99;1898,0944;1898,0944;3374,99;269,9992;84,3748;2018-10-08 00:00:00.000
Road-650 Red, 44;Dana Ramos;Australia;SO45871;1;699,0982;413,1463;413,1463;699,0982;55,9279;17,4775;2018-10-08 00:00:00.000
Mountain-100 Silver, 48;Cindy Patel;Germany;SO45872;1;3399,99;1912,1544;1912,1544;3399,99;271,9992;84,9998;2018-10-09 00:00:00.000
Road-150 Red, 56;Ashlee Jai;United States;SO45873;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-09 00:00:00.000
Mountain-100 Black, 48;Ashley Alexander;Canada;SO45874;1;3374,99;1898,0944;1898,0944;3374,99;269,9992;84,3748;2018-10-09 00:00:00.000
Road-150 Red, 62;Christopher Thomas;Australia;SO45875;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-09 00:00:00.000
Road-150 Red, 56;Brittney Zhang;Australia;SO45876;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-09 00:00:00.000
Mountain-100 Black, 48;Jaclyn Zheng;Australia;SO45877;1;3374,99;1898,0944;1898,0944;3374,99;269,9992;84,3748;2018-10-09 00:00:00.000
Road-150 Red, 62;Teresa Vazquez;France;SO45878;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-10 00:00:00.000
Road-650 Black, 44;Dominic Raman;Germany;SO45879;1;699,0982;413,1463;413,1463;699,0982;55,9279;17,4775;2018-10-10 00:00:00.000
Road-150 Red, 52;Natalie Cook;United States;SO45880;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-10 00:00:00.000
Road-150 Red, 62;Isabelle Bryant;Canada;SO45881;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-10-10 00:00:00.000
