ProductName;Name;Country;SalesOrderNumber;OrderQuantity;UnitPrice;ProductStandardCost;TotalProductCost;SalesAmount;TaxAmt;Freight;OrderDate
Road-150 Red, 44;Alyssa Cooper;United States;SO46130;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-11-01 00:00:00.000
Road-150 Red, 48;Joseph Garcia;United States;SO46131;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-11-01 00:00:00.000
Road-150 Red, 56;Lori Sanz;Canada;SO46132;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-11-01 00:00:00.000
Road-150 Red, 48;Abigail Foster;United States;SO46133;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-11-01 00:00:00.000
Road-150 Red, 48;Jenny Andersen;Australia;SO46134;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-11-01 00:00:00.000
Road-150 Red, 52;Dale Goel;Australia;SO46135;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-11-01 00:00:00.000
Road-150 Red, 48;Johnathan Perez;Australia;SO46136;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-11-01 00:00:00.000
Road-150 Red, 52;Dennis Hu;Australia;SO46137;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-11-01 00:00:00.000
Road-150 Red, 44;Ethan Bryant;France;SO46138;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-11-01 00:00:00.000
Mountain-100 Silver, 48;Bonnie Jai;Australia;SO46139;1;3399,99;1912,1544;1912,1544;3399,99;271,9992;84,9998;2018-11-01 00:00:00.000
Mountain-100 Black, 44;Frederick Martinez;Australia;SO46140;1;3374,99;1898,0944;1898,0944;3374,99;269,9992;84,3748;2018-11-01 00:00:00.000
Road-650 Red, 58;Allison Edwards;Germany;SO46141;1;699,0982;413,1463;413,1463;699,0982;55,9279;17,4775;2018-11-02 00:00:00.000
Road-150 Red, 44;Gabrielle Peterson;Canada;SO46142;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-11-02 00:00:00.000
Mountain-100 Silver, 48;Mathew Moreno;United States;SO46143;1;3399,99;1912,1544;1912,1544;3399,99;271,9992;84,9998;2018-11-02 00:00:00.000
Mountain-100 Black, 44;Sarah Butler;United States;SO46144;1;3374,99;1898,0944;1898,0944;3374,99;269,9992;84,3748;2018-11-02 00:00:00.000
Road-650 Black, 48;Eric Griffin;United States;SO46145;1;699,0982;413,1463;413,1463;699,0982;55,9279;17,4775;2018-11-02 00:00:00.000
Mountain-100 Silver, 42;Amy Sun;Germany;SO46146;1;3399,99;1912,1544;1912,1544;3399,99;271,9992;84,9998;2018-11-03 00:00:00.000
Road-650 Red, 58;Sarah Anderson;Germany;SO46147;1;699,0982;413,1463;413,1463;699,0982;55,9279;17,4775;2018-11-03 00:00:00.000
Road-150 Red, 62;Makayla Ward;United States;SO46148;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-11-03 00:00:00.000
Road-150 Red, 44;Xavier Simmons;United States;SO46149;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-11-03 00:00:00.000
Road-650 Black, 62;Patricia Patel;United Kingdom;SO46150;1;699,0982;413,1463;413,1463;699,0982;55,9279;17,4775;2018-11-03 00:00:00.000
Mountain-100 Black, 48;Christian Johnson;United States;SO46151;1;3374,99;1898,0944;1898,0944;3374,99;269,9992;84,3748;2018-11-03 00:00:00.000
Road-150 Red, 56;Marie Romero;Australia;SO46152;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-11-03 00:00:00.000
Road-650 Red, 62;Mario Sharma;Australia;SO46153;1;699,0982;413,1463;413,1463;699,0982;55,9279;17,4775;2018-11-03 00:00:00.000
Mountain-100 Black, 42;Kara Anand;Australia;SO46154;1;3374,99;1898,0944;1898,0944;3374,99;269,9992;84,3748;2018-11-03 00:00:00.000
Road-150 Red, 62;Chloe Washington;United States;SO46155;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-11-04 00:00:00.000
Road-150 Red, 56;Miguel Sanchez;United States;SO46156;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-11-04 00:00:00.000
Mountain-100 Silver, 42;Karen Zeng;United States;SO46157;1;3399,99;1912,1544;1912,1544;3399,99;271,9992;84,9998;2018-11-04 00:00:00.000
Road-650 Red, 58;Larry Gutierrez;Australia;SO46158;1;699,0982;413,1463;413,1463;699,0982;55,9279;17,4775;2018-11-04 00:00:00.000
Mountain-100 Black, 48;Veronica Srini;Australia;SO46159;1;3374,99;1898,0944;1898,0944;3374,99;269,9992;84,3748;2018-11-04 00:00:00.000
Mountain-100 Black, 48;Sydney Bryant;Germany;SO46160;1;3374,99;1898,0944;1898,0944;3374,99;269,9992;84,3748;2018-11-05 00:00:00.000
Road-150 Red, 44;Nicolas Chander;France;SO46161;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-11-05 00:00:00.000
Road-150 Red, 52;Aaron Wang;United States;SO46162;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-11-05 00:00:00.000
Road-150 Red, 48;Alex Carter;United States;SO46163;1;3578,27;2171,2942;2171,2942;3578,27;286,2616;89,4568;2018-11-05 00:00:00.000
